,Blur,Copy Paste,CopyPaste+Blur,CopyPaste+Insertion,CopyPaste+Noise,Insertion,Insertion+Blur,Insertion+Noise,Noise,Normal
Blur,0,0,0,0,0,3,2,0,5,0
Copy Paste,0,0,0,0,0,2,2,0,6,0
CopyPaste+Blur,0,0,1,0,0,2,2,0,5,0
CopyPaste+Insertion,0,0,1,0,0,1,3,0,5,0
CopyPaste+Noise,0,0,1,0,0,1,3,0,5,0
Insertion,0,0,0,0,0,1,3,0,6,0
Insertion+Blur,0,0,0,0,0,2,3,0,5,0
Insertion+Noise,0,0,0,0,0,1,3,0,6,0
Noise,0,0,0,0,0,2,2,0,6,0
Normal,0,0,0,0,0,2,3,0,5,0
