,Blur,Copy Paste,CopyPaste+Blur,CopyPaste+Insertion,CopyPaste+Noise,Insertion,Insertion+Blur,Insertion+Noise,Noise,Normal,accuracy,macro avg,weighted avg
precision,0.0,0.0,0.1111111111111111,0.0,0.0,0.09090909090909091,0.1016949152542373,0.0,0.09523809523809523,0.0,0.1,0.03989532125125346,0.03989532125125345
recall,0.0,0.0,0.1,0.0,0.0,0.1,0.6,0.0,0.2,0.0,0.1,0.1,0.1
f1-score,0.0,0.0,0.10526315789473684,0.0,0.0,0.09523809523809523,0.17391304347826086,0.0,0.12903225806451613,0.0,0.1,0.05034465546756091,0.0503446554675609
support,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,0.1,100.0,100.0
